model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200514_152436,0.8787666003751283,0.4005665670513876,0.8281153118717954,0.1872673119880864,0.3606062569405763,0.13003687254469298
StackedEnsemble_BestOfFamily_AutoML_20200514_152436,0.8784705339009973,0.4009231897792549,0.8285825612405319,0.18428890543559198,0.36104095974294603,0.13035057461210756
GBM_grid__1_AutoML_20200514_152436_model_6,0.8750075541305431,0.40582000318281175,0.8223754441883313,0.1902457185405808,0.3633627685553912,0.13203250157223878
GBM_grid__1_AutoML_20200514_152436_model_7,0.873739569062495,0.4036046111767975,0.8178975886915404,0.1913626209977662,0.3623996725570028,0.13133352266942286
GBM_grid__1_AutoML_20200514_152436_model_5,0.8737063031665253,0.4040339141153096,0.8201612794047507,0.17982129560685034,0.3622784951669955,0.13124570806046282
GBM_2_AutoML_20200514_152436,0.8725270271543963,0.4059759700902118,0.8207876623807624,0.1906180193596426,0.3638361208216019,0.13237672281451132
GBM_3_AutoML_20200514_152436,0.8715986314410398,0.4076133585590687,0.8257243553890389,0.18689501116902454,0.3647937046162225,0.13307444692762774
GBM_4_AutoML_20200514_152436,0.8714314703137916,0.4108737046270559,0.8129917247446923,0.1857781087118392,0.3644795614257587,0.13284535069711342
DRF_1_AutoML_20200514_152436,0.8707450839936153,0.4508247651630654,0.8210899875438342,0.1865227103499628,0.3654667790272312,0.13356596657253908
GBM_grid__1_AutoML_20200514_152436_model_4,0.8701329915077712,0.40885281146118174,0.8247529799530986,0.1921072226358898,0.3660308761582567,0.13397860230118105
XRT_1_AutoML_20200514_152436,0.8698471820182309,0.4241703002252912,0.8209546411517811,0.18801191362620998,0.3676864068637029,0.13519329379234055
XGBoost_grid__1_AutoML_20200514_152436_model_5,0.8689137964204786,0.4129880460066269,0.8041454626504485,0.19657483246463145,0.3668846300541317,0.1346043317699571
XGBoost_grid__1_AutoML_20200514_152436_model_9,0.8685758703605858,0.4229351123081195,0.8108368800279586,0.1939687267311988,0.3690555237774788,0.13620197963066924
GBM_grid__1_AutoML_20200514_152436_model_2,0.8671800888088536,0.4128814052816859,0.8127778443751243,0.18689501116902454,0.36672104942276224,0.13448432808973199
GBM_5_AutoML_20200514_152436,0.8670861126527389,0.4111002997248151,0.8105820407850807,0.19359642591213705,0.3670557970157433,0.13472995812286254
GBM_grid__1_AutoML_20200514_152436_model_8,0.8664989695888723,0.41156726337240973,0.8064885510366216,0.1902457185405808,0.3663219280583168,0.13419175497636265
GBM_1_AutoML_20200514_152436,0.8661743498873672,0.4116703980658529,0.8116824459118263,0.1909903201787044,0.3671293348509931,0.1347839485081326
GBM_grid__1_AutoML_20200514_152436_model_1,0.8638737359652571,0.4168020437833588,0.8001891743821686,0.195457930007446,0.3690811904824362,0.13622092516793236
XGBoost_3_AutoML_20200514_152436,0.8625519710320577,0.4287382354928155,0.8116461648889165,0.19955323901712585,0.37558706388937396,0.14106564256104073
XGBoost_grid__1_AutoML_20200514_152436_model_6,0.8608121646728383,0.4226209096806744,0.8004685065419376,0.1939687267311988,0.3722849523708256,0.13859608576174784
XGBoost_grid__1_AutoML_20200514_152436_model_3,0.8607561670812891,0.4568593000460263,0.8040266034235708,0.20067014147431125,0.3823819174626089,0.14621593080238146
GBM_grid__1_AutoML_20200514_152436_model_3,0.8605662742584617,0.4181084238224301,0.7924079980824943,0.1887565152643336,0.3699954726600585,0.13689664978894012
XGBoost_grid__1_AutoML_20200514_152436_model_8,0.8599403209826302,0.4233889954284665,0.7945484925471666,0.193596425912137,0.3720270422643078,0.13840412017592904
XGBoost_grid__1_AutoML_20200514_152436_model_4,0.8592242725718807,0.4823933819197495,0.8051023429289069,0.19694713328369326,0.3868203312895783,0.1496299686989791
XGBoost_grid__1_AutoML_20200514_152436_model_2,0.8591918383233101,0.4265160713897676,0.7881808895730609,0.1902457185405808,0.37198334741759015,0.13837161075599558
