model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_grid__1_AutoML_20200514_194343_model_47,0.9603498995640164,0.25119799669471826,0.9136005551123404,0.10613931253525856,0.2700197159620548,0.07291064700822872
StackedEnsemble_BestOfFamily_AutoML_20200514_194343,0.9594287948008072,0.2349324420782697,0.9161056495447794,0.10432054078907466,0.2633405248198864,0.06934823201241319
StackedEnsemble_AllModels_AutoML_20200514_194343,0.9594174835242596,0.2355648134209256,0.9153404516712228,0.10874477847017736,0.2636194402811262,0.06949520929413426
XRT_1_AutoML_20200514_194343,0.9592242746924148,0.2855661241502048,0.9140217842240654,0.09999168468318642,0.2672215768126276,0.07140737111422701
XGBoost_grid__1_AutoML_20200514_194343_model_94,0.9586958036998268,0.2732289819029015,0.9084882127923176,0.107067448632538,0.2784301271105164,0.07752333568277832
DRF_1_AutoML_20200514_194343,0.9583334352367258,0.3047576856176207,0.9142830883135568,0.10820387526372598,0.2676082849684944,0.07161419418377893
GBM_grid__1_AutoML_20200514_194343_model_39,0.9580539142315831,0.2433308080389799,0.9052970652068212,0.10729448939063403,0.2696979008083649,0.0727369577004386
XGBoost_grid__1_AutoML_20200514_194343_model_42,0.957417221836348,0.2597743533110684,0.9049315740202653,0.11577040595050593,0.27499621846273314,0.07562292016880325
XGBoost_grid__1_AutoML_20200514_194343_model_172,0.9571776469609964,0.29015093333283337,0.9051466404401014,0.1080856673286311,0.2775316708883939,0.07702382834610379
XGBoost_grid__1_AutoML_20200514_194343_model_130,0.9570974489912378,0.30422665802295695,0.9020493911836168,0.1141195709948706,0.2777213286290107,0.07712913637546298
XGBoost_grid__1_AutoML_20200514_194343_model_144,0.956882432833436,0.2632958802141944,0.9028772188919728,0.10021016555632732,0.2748674835545348,0.07555213351560244
GBM_grid__1_AutoML_20200514_194343_model_48,0.9563931946468924,0.24952251352629445,0.9048720993260972,0.10814477129617854,0.27079920687315284,0.07333221044312864
XGBoost_grid__1_AutoML_20200514_194343_model_163,0.956147403664609,0.3369977061576357,0.9018279385470102,0.1139972869240828,0.2869683679495424,0.08235084420362396
XGBoost_grid__1_AutoML_20200514_194343_model_152,0.9560677152118124,0.2478195644092109,0.8973736354157719,0.11011395244943144,0.27242741105439,0.07421669429379757
XGBoost_grid__1_AutoML_20200514_194343_model_125,0.9559890457929388,0.2559696773522573,0.8990649709633844,0.11034588457035902,0.2755267630304545,0.07591499714604026
XGBoost_grid__1_AutoML_20200514_194343_model_171,0.9558921356668396,0.24405591288695105,0.9014196362614636,0.11144154984461772,0.2708369383459454,0.07335264717260544
XGBoost_grid__1_AutoML_20200514_194343_model_118,0.9558532085709721,0.2604854822064107,0.8999587172819206,0.11807586829842533,0.2759718944981473,0.07616048655289655
XGBoost_grid__1_AutoML_20200514_194343_model_26,0.9558415915842472,0.2533852389853941,0.9034773365054044,0.10889967162650856,0.27261598425564204,0.07431947487167248
GBM_grid__1_AutoML_20200514_194343_model_24,0.9558183576107976,0.24427776741123505,0.90387026201834,0.1147929486113421,0.2717400236862685,0.07384264047301377
GBM_grid__1_AutoML_20200514_194343_model_23,0.9556137355990124,0.2459947891299679,0.9009899890764734,0.1159888868236468,0.2738284306074021,0.07498200940891282
XGBoost_grid__1_AutoML_20200514_194343_model_89,0.9555048008726192,0.2556195457509192,0.8988924716784178,0.1124328660451375,0.27394876715703703,0.0750479270268605
XGBoost_grid__1_AutoML_20200514_194343_model_126,0.9554717841735064,0.2453036275004984,0.8972716208115816,0.1089542918447938,0.2716583192660704,0.07379824242646625
XGBoost_grid__1_AutoML_20200514_194343_model_19,0.955319030988414,0.2590615477866361,0.9022638687747622,0.11075023723109734,0.2728018551082186,0.07442085215048548
GBM_grid__1_AutoML_20200514_194343_model_41,0.9552133571705748,0.2497085459618021,0.9011253089330048,0.10618985661785088,0.27287573183328345,0.07446116502355002
GBM_4_AutoML_20200514_194343,0.9551438590570104,0.2455575957870184,0.8989011006952309,0.11107347479154643,0.2733806145281393,0.07473696039978309
GBM_grid__1_AutoML_20200514_194343_model_49,0.9549563568151358,0.2459006739584859,0.9000093441979795,0.10632192341430168,0.2737151945938485,0.07492000775154832
GBM_grid__1_AutoML_20200514_194343_model_28,0.9547913752229644,0.24719519969721365,0.8990972144555051,0.11752110623061796,0.2739328742009113,0.07503921956797231
XGBoost_grid__1_AutoML_20200514_194343_model_32,0.9546561494213518,0.26606113177090795,0.9010644739763309,0.11477949736355544,0.2803240562287456,0.07858157650053695
XGBoost_grid__1_AutoML_20200514_194343_model_111,0.9545735057701776,0.2634897226018989,0.8982355398295392,0.11272390213361247,0.2756064231468565,0.07595890047980412
XGBoost_grid__1_AutoML_20200514_194343_model_179,0.9542376321890804,0.24759484756560746,0.8980157471536231,0.10859518429024696,0.27257911563456844,0.07429937428012344
XGBoost_grid__1_AutoML_20200514_194343_model_116,0.954133385018734,0.2682327407174134,0.8961317237607512,0.1160117131835272,0.2796825778513914,0.07822234435359961
